freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.669e+01,8.609e+02,1.066e+02,1.004e+03
1.6,4.737e+01,5.057e+02,1.398e+02,6.929e+02
3.1,3.203e+01,4.775e+01,9.509e+01,1.749e+02
4.7,3.435e+01,4.102e+02,9.602e+01,5.406e+02
6.2,3.559e+01,1.424e+03,8.652e+01,1.546e+03
7.8,3.779e+01,2.518e+03,8.985e+01,2.646e+03
9.3,4.894e+01,4.165e+03,9.875e+01,4.312e+03
10.9,1.460e+02,6.079e+03,7.880e+01,6.304e+03
12.4,2.995e+02,5.220e+03,8.832e+01,5.608e+03
14.0,1.601e+02,4.716e+03,8.225e+01,4.958e+03
15.5,5.225e+01,6.332e+03,7.349e+01,6.458e+03
17.1,4.135e+01,8.898e+03,1.028e+02,9.042e+03
18.6,4.486e+01,1.157e+04,9.843e+01,1.172e+04
20.2,6.211e+01,1.434e+04,9.220e+01,1.450e+04
21.7,6.334e+01,1.855e+04,1.052e+02,1.872e+04
23.3,7.021e+01,2.460e+04,1.222e+02,2.479e+04
24.8,9.486e+01,3.175e+04,1.348e+02,3.198e+04
26.4,7.897e+01,3.940e+04,1.308e+02,3.961e+04
27.9,6.425e+01,4.630e+04,1.670e+02,4.653e+04
29.5,9.176e+01,5.610e+04,2.364e+02,5.643e+04
31.1,1.627e+02,7.575e+04,3.299e+02,7.624e+04
32.6,2.473e+02,1.060e+05,7.391e+02,1.070e+05
34.2,3.563e+02,1.485e+05,1.423e+03,1.503e+05
35.7,3.834e+02,2.049e+05,2.046e+03,2.073e+05
37.3,5.947e+02,3.308e+05,3.756e+03,3.351e+05
38.8,3.526e+03,7.423e+05,1.571e+04,7.616e+05
40.4,1.790e+04,1.792e+06,6.147e+04,1.871e+06
41.9,4.518e+04,2.966e+06,1.435e+05,3.155e+06
43.5,6.261e+04,3.011e+06,1.938e+05,3.267e+06
45.0,6.978e+04,2.476e+06,2.109e+05,2.757e+06
46.6,6.839e+04,1.959e+06,2.183e+05,2.246e+06
48.1,5.923e+04,1.526e+06,2.214e+05,1.806e+06
49.7,5.323e+04,1.185e+06,2.369e+05,1.475e+06
51.2,5.109e+04,9.269e+05,2.588e+05,1.237e+06
52.8,3.850e+04,6.055e+05,2.093e+05,8.534e+05
54.3,2.373e+04,2.883e+05,1.136e+05,4.256e+05
55.9,1.647e+04,1.393e+05,6.261e+04,2.183e+05
57.4,1.587e+04,8.876e+04,4.425e+04,1.489e+05
59.0,2.017e+04,7.034e+04,4.212e+04,1.326e+05
60.6,2.152e+04,5.940e+04,4.272e+04,1.236e+05
62.1,1.955e+04,4.836e+04,3.831e+04,1.062e+05
63.7,1.694e+04,4.041e+04,3.222e+04,8.957e+04
65.2,1.497e+04,3.527e+04,2.787e+04,7.811e+04
66.8,1.517e+04,3.075e+04,2.491e+04,7.083e+04
68.3,1.510e+04,2.380e+04,2.013e+04,5.903e+04
69.9,1.254e+04,1.699e+04,1.486e+04,4.439e+04
71.4,7.709e+03,1.330e+04,9.509e+03,3.051e+04
73.0,4.217e+03,1.252e+04,5.990e+03,2.273e+04
74.5,3.530e+03,1.331e+04,3.120e+03,1.996e+04
76.1,4.192e+03,1.556e+04,1.416e+03,2.117e+04
77.6,8.710e+03,1.851e+04,1.228e+03,2.845e+04
79.2,1.587e+04,2.089e+04,1.554e+03,3.831e+04
80.7,2.191e+04,2.168e+04,1.769e+03,4.536e+04
82.3,2.580e+04,2.230e+04,2.744e+03,5.084e+04
83.8,2.747e+04,2.442e+04,4.907e+03,5.680e+04
85.4,3.079e+04,2.818e+04,6.729e+03,6.569e+04
86.9,3.553e+04,3.275e+04,8.176e+03,7.646e+04
88.5,4.054e+04,3.738e+04,1.090e+04,8.883e+04
90.1,4.188e+04,4.146e+04,1.411e+04,9.745e+04
91.6,3.890e+04,4.556e+04,1.861e+04,1.031e+05
93.2,3.465e+04,5.065e+04,2.532e+04,1.106e+05
94.7,2.818e+04,5.532e+04,3.507e+04,1.186e+05
96.3,2.262e+04,6.309e+04,5.362e+04,1.393e+05
97.8,1.716e+04,7.667e+04,9.126e+04,1.851e+05
99.4,1.507e+04,8.978e+04,1.446e+05,2.495e+05
100.9,1.978e+04,8.467e+04,1.742e+05,2.787e+05
102.5,2.834e+04,7.089e+04,1.906e+05,2.898e+05
104.0,3.735e+04,5.859e+04,2.103e+05,3.062e+05
105.6,4.903e+04,5.275e+04,2.588e+05,3.606e+05
107.1,6.080e+04,5.042e+04,3.408e+05,4.520e+05
108.7,5.358e+04,4.434e+04,3.804e+05,4.783e+05
110.2,4.544e+04,3.428e+04,3.617e+05,4.415e+05
111.8,4.357e+04,2.501e+04,3.148e+05,3.834e+05
113.3,4.344e+04,2.021e+04,2.698e+05,3.335e+05
114.9,3.975e+04,2.014e+04,2.301e+05,2.900e+05
116.4,3.542e+04,1.916e+04,1.880e+05,2.425e+05
118.0,2.963e+04,1.811e+04,1.476e+05,1.954e+05
119.6,2.720e+04,1.784e+04,1.215e+05,1.665e+05
121.1,4.129e+04,2.361e+04,1.053e+05,1.702e+05
122.7,4.540e+04,2.674e+04,8.180e+04,1.539e+05
124.2,3.899e+04,2.816e+04,6.023e+04,1.274e+05
125.8,3.275e+04,2.986e+04,4.855e+04,1.112e+05
127.3,2.508e+04,2.698e+04,4.370e+04,9.577e+04
128.9,1.730e+04,2.060e+04,4.204e+04,7.993e+04
130.4,1.072e+04,1.581e+04,4.291e+04,6.943e+04
132.0,8.406e+03,1.436e+04,3.782e+04,6.059e+04
133.5,5.161e+03,7.466e+03,1.898e+04,3.160e+04
135.1,4.365e+03,3.610e+03,9.660e+03,1.764e+04
136.6,4.705e+03,2.887e+03,8.389e+03,1.598e+04
138.2,5.153e+03,2.542e+03,7.929e+03,1.562e+04
139.7,5.918e+03,2.192e+03,8.035e+03,1.615e+04
141.3,6.382e+03,1.981e+03,8.365e+03,1.673e+04
142.8,6.464e+03,2.043e+03,9.060e+03,1.757e+04
144.4,5.814e+03,1.878e+03,8.138e+03,1.583e+04
145.9,4.291e+03,1.424e+03,6.696e+03,1.241e+04
147.5,3.004e+03,1.002e+03,5.993e+03,9.999e+03
149.1,1.930e+03,7.100e+02,5.908e+03,8.547e+03
150.6,1.091e+03,5.470e+02,5.910e+03,7.548e+03
152.2,6.360e+02,5.889e+02,5.820e+03,7.044e+03
153.7,7.084e+02,1.009e+03,6.376e+03,8.094e+03
155.3,1.528e+03,1.552e+03,5.554e+03,8.635e+03
156.8,5.509e+03,2.301e+03,3.895e+03,1.170e+04
158.4,1.179e+04,3.093e+03,2.829e+03,1.771e+04
159.9,1.796e+04,3.584e+03,2.458e+03,2.401e+04
161.5,2.290e+04,4.163e+03,4.022e+03,3.109e+04
163.0,2.523e+04,4.184e+03,5.858e+03,3.528e+04
164.6,2.592e+04,3.602e+03,7.156e+03,3.668e+04
166.1,2.542e+04,3.030e+03,7.235e+03,3.568e+04
167.7,2.396e+04,2.360e+03,7.103e+03,3.342e+04
169.2,2.096e+04,1.690e+03,7.421e+03,3.007e+04
170.8,1.810e+04,1.403e+03,6.658e+03,2.617e+04
172.3,1.515e+04,1.490e+03,5.810e+03,2.245e+04
173.9,1.265e+04,1.732e+03,5.339e+03,1.972e+04
175.4,1.011e+04,1.779e+03,4.679e+03,1.657e+04
177.0,8.669e+03,1.884e+03,4.244e+03,1.480e+04
178.5,9.028e+03,2.056e+03,3.922e+03,1.501e+04
180.1,8.541e+03,2.153e+03,3.495e+03,1.419e+04
181.7,8.298e+03,2.296e+03,3.161e+03,1.376e+04
183.2,8.141e+03,2.408e+03,3.040e+03,1.359e+04
184.8,8.151e+03,2.450e+03,3.219e+03,1.382e+04
186.3,8.117e+03,2.419e+03,3.432e+03,1.397e+04
187.9,7.215e+03,2.372e+03,3.197e+03,1.278e+04
189.4,6.933e+03,2.424e+03,3.429e+03,1.279e+04
191.0,6.978e+03,2.460e+03,3.520e+03,1.296e+04
192.5,7.143e+03,2.647e+03,3.774e+03,1.356e+04
194.1,7.484e+03,2.615e+03,3.781e+03,1.388e+04
195.6,8.342e+03,2.465e+03,3.964e+03,1.477e+04
197.2,9.794e+03,2.270e+03,4.938e+03,1.700e+04
198.7,1.024e+04,2.286e+03,5.300e+03,1.783e+04
