freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.540e+01,6.028e+01,2.055e+02,3.312e+02
1.6,2.775e+02,2.186e+02,1.318e+02,6.280e+02
3.1,2.203e+02,2.402e+02,3.683e+01,4.973e+02
4.7,2.562e+02,2.260e+02,3.699e+02,8.521e+02
6.3,2.637e+02,2.265e+02,1.213e+03,1.703e+03
7.8,2.186e+02,1.876e+02,2.015e+03,2.422e+03
9.4,2.276e+02,1.676e+02,3.107e+03,3.502e+03
11.0,2.474e+02,2.519e+02,4.144e+03,4.643e+03
12.6,2.417e+02,3.515e+02,4.481e+03,5.075e+03
14.1,2.241e+02,2.886e+02,4.925e+03,5.437e+03
15.7,2.368e+02,1.898e+02,6.298e+03,6.725e+03
17.3,2.770e+02,1.977e+02,8.155e+03,8.629e+03
18.8,3.524e+02,2.155e+02,1.040e+04,1.097e+04
20.4,4.169e+02,2.287e+02,1.222e+04,1.287e+04
22.0,2.896e+02,2.450e+02,1.398e+04,1.451e+04
23.5,3.442e+02,2.579e+02,1.667e+04,1.727e+04
25.1,3.164e+02,2.667e+02,1.936e+04,1.995e+04
26.7,3.262e+02,2.568e+02,2.194e+04,2.253e+04
28.3,3.881e+02,3.010e+02,2.465e+04,2.534e+04
29.8,3.524e+02,3.651e+02,2.758e+04,2.829e+04
31.4,4.379e+02,4.323e+02,3.161e+04,3.248e+04
33.0,5.066e+02,4.738e+02,3.632e+04,3.730e+04
34.5,4.717e+02,5.665e+02,4.188e+04,4.292e+04
36.1,4.969e+02,6.887e+02,4.786e+04,4.905e+04
37.7,5.375e+02,8.599e+02,5.592e+04,5.732e+04
39.2,6.581e+02,1.042e+03,6.474e+04,6.644e+04
40.8,8.145e+02,1.456e+03,7.821e+04,8.048e+04
42.4,9.792e+02,2.047e+03,9.592e+04,9.894e+04
44.0,1.321e+03,2.752e+03,1.129e+05,1.170e+05
45.5,1.627e+03,4.105e+03,1.393e+05,1.450e+05
47.1,2.472e+03,6.250e+03,1.762e+05,1.849e+05
48.7,4.262e+03,8.519e+03,2.148e+05,2.276e+05
50.2,7.294e+03,1.133e+04,2.556e+05,2.742e+05
51.8,1.584e+04,2.008e+04,3.351e+05,3.710e+05
53.4,3.494e+04,4.290e+04,4.758e+05,5.537e+05
54.9,5.463e+04,6.480e+04,5.686e+05,6.880e+05
56.5,5.209e+04,6.086e+04,4.879e+05,6.009e+05
58.1,3.577e+04,5.138e+04,4.118e+05,4.989e+05
59.6,2.076e+04,4.299e+04,3.476e+05,4.114e+05
61.2,8.585e+03,3.112e+04,2.706e+05,3.103e+05
62.8,4.835e+03,2.896e+04,2.461e+05,2.799e+05
64.4,6.584e+03,3.436e+04,2.409e+05,2.819e+05
65.9,7.132e+03,3.301e+04,2.112e+05,2.513e+05
67.5,1.041e+04,3.644e+04,2.082e+05,2.550e+05
69.1,1.566e+04,4.770e+04,2.309e+05,2.943e+05
70.6,1.865e+04,5.497e+04,2.370e+05,3.106e+05
72.2,1.999e+04,5.704e+04,2.219e+05,2.989e+05
73.8,1.719e+04,4.997e+04,2.033e+05,2.705e+05
75.3,1.183e+04,4.329e+04,1.847e+05,2.398e+05
76.9,8.358e+03,4.058e+04,1.577e+05,2.066e+05
78.5,5.393e+03,3.662e+04,1.307e+05,1.727e+05
80.1,3.513e+03,3.412e+04,1.158e+05,1.534e+05
81.6,3.939e+03,3.238e+04,1.007e+05,1.370e+05
83.2,4.284e+03,3.075e+04,8.323e+04,1.183e+05
84.8,4.501e+03,3.163e+04,7.531e+04,1.114e+05
86.3,4.903e+03,3.344e+04,6.884e+04,1.072e+05
87.9,5.808e+03,3.627e+04,6.231e+04,1.044e+05
89.5,6.701e+03,3.951e+04,5.510e+04,1.013e+05
91.0,6.839e+03,4.045e+04,4.766e+04,9.495e+04
92.6,6.388e+03,3.916e+04,4.199e+04,8.753e+04
94.2,5.996e+03,3.904e+04,3.965e+04,8.468e+04
95.7,5.355e+03,3.972e+04,3.770e+04,8.278e+04
97.3,4.461e+03,3.968e+04,3.543e+04,7.957e+04
98.9,3.614e+03,3.959e+04,3.307e+04,7.628e+04
100.5,3.104e+03,4.013e+04,3.060e+04,7.383e+04
102.0,3.953e+03,3.987e+04,2.897e+04,7.280e+04
103.6,4.210e+03,3.588e+04,2.515e+04,6.524e+04
105.2,3.151e+03,3.129e+04,2.082e+04,5.526e+04
106.7,2.544e+03,3.173e+04,1.851e+04,5.278e+04
108.3,2.540e+03,3.304e+04,1.650e+04,5.208e+04
109.9,2.601e+03,3.278e+04,1.419e+04,4.957e+04
111.4,2.895e+03,3.127e+04,1.243e+04,4.660e+04
113.0,2.992e+03,3.144e+04,1.118e+04,4.560e+04
114.6,2.382e+03,3.055e+04,9.661e+03,4.260e+04
116.2,1.734e+03,2.846e+04,9.150e+03,3.935e+04
117.7,1.862e+03,2.809e+04,9.896e+03,3.985e+04
119.3,1.778e+03,2.960e+04,9.539e+03,4.092e+04
120.9,2.589e+03,2.785e+04,9.697e+03,4.014e+04
122.4,4.789e+03,3.066e+04,9.779e+03,4.523e+04
124.0,7.004e+03,4.301e+04,9.007e+03,5.902e+04
125.6,8.684e+03,6.047e+04,8.659e+03,7.781e+04
127.1,9.886e+03,7.393e+04,9.240e+03,9.306e+04
128.7,9.831e+03,8.289e+04,8.820e+03,1.015e+05
130.3,9.673e+03,8.423e+04,6.880e+03,1.008e+05
131.9,1.003e+04,8.039e+04,5.392e+03,9.581e+04
133.4,7.333e+03,4.659e+04,4.939e+03,5.886e+04
135.0,5.476e+03,2.253e+04,6.093e+03,3.410e+04
136.6,6.826e+03,2.013e+04,8.695e+03,3.565e+04
138.1,8.538e+03,1.871e+04,1.190e+04,3.915e+04
139.7,1.022e+04,1.794e+04,1.534e+04,4.350e+04
141.3,1.189e+04,1.825e+04,1.891e+04,4.904e+04
142.8,1.379e+04,1.876e+04,2.230e+04,5.485e+04
144.4,1.514e+04,1.900e+04,2.493e+04,5.907e+04
146.0,1.658e+04,1.913e+04,2.795e+04,6.366e+04
147.5,1.783e+04,2.027e+04,3.165e+04,6.975e+04
149.1,2.005e+04,2.280e+04,3.508e+04,7.793e+04
150.7,2.297e+04,2.482e+04,3.901e+04,8.679e+04
152.3,2.351e+04,2.672e+04,4.119e+04,9.142e+04
153.8,2.558e+04,2.940e+04,4.396e+04,9.894e+04
155.4,2.769e+04,3.246e+04,4.735e+04,1.075e+05
157.0,3.087e+04,3.484e+04,5.206e+04,1.178e+05
158.5,3.357e+04,3.700e+04,5.846e+04,1.290e+05
160.1,3.732e+04,4.059e+04,6.691e+04,1.448e+05
161.7,4.123e+04,4.504e+04,7.697e+04,1.632e+05
163.2,4.719e+04,4.799e+04,8.990e+04,1.851e+05
164.8,4.728e+04,4.629e+04,9.239e+04,1.860e+05
