freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.058e+03,6.664e+02,1.474e+01,1.739e+03
1.6,3.730e+03,1.377e+03,4.966e+01,5.157e+03
3.1,4.513e+03,1.378e+03,5.161e+01,5.943e+03
4.7,5.613e+03,1.796e+03,5.350e+01,7.462e+03
6.3,5.352e+03,2.692e+03,5.423e+01,8.098e+03
7.8,6.218e+03,3.751e+03,5.650e+01,1.003e+04
9.4,6.353e+03,5.072e+03,9.423e+01,1.152e+04
11.0,6.791e+03,6.282e+03,2.841e+02,1.336e+04
12.6,5.909e+03,6.565e+03,3.926e+02,1.287e+04
14.1,4.724e+03,6.049e+03,1.906e+02,1.096e+04
15.7,5.588e+03,7.920e+03,8.959e+01,1.360e+04
17.3,5.125e+03,9.636e+03,7.188e+01,1.483e+04
18.8,5.315e+03,1.164e+04,7.291e+01,1.703e+04
20.4,4.551e+03,1.460e+04,9.173e+01,1.924e+04
22.0,5.549e+03,1.815e+04,1.003e+02,2.380e+04
23.5,4.152e+03,2.241e+04,9.436e+01,2.666e+04
25.1,3.493e+03,2.748e+04,9.632e+01,3.107e+04
26.7,4.359e+03,3.088e+04,9.230e+01,3.533e+04
28.3,4.995e+03,3.455e+04,8.500e+01,3.963e+04
29.8,5.464e+03,4.147e+04,1.047e+02,4.704e+04
31.4,4.794e+03,5.201e+04,1.185e+02,5.693e+04
33.0,4.803e+03,6.614e+04,1.359e+02,7.108e+04
34.5,4.810e+03,8.493e+04,1.749e+02,8.991e+04
36.1,5.574e+03,1.093e+05,2.434e+02,1.151e+05
37.7,7.073e+03,1.502e+05,3.227e+02,1.576e+05
39.2,1.285e+04,2.099e+05,4.118e+02,2.232e+05
40.8,4.428e+04,3.293e+05,5.740e+02,3.741e+05
42.4,1.476e+05,5.449e+05,1.533e+03,6.940e+05
43.9,2.851e+05,5.889e+05,2.571e+03,8.766e+05
45.5,3.394e+05,3.977e+05,2.552e+03,7.396e+05
47.1,3.452e+05,2.388e+05,2.488e+03,5.865e+05
48.7,3.449e+05,1.702e+05,2.972e+03,5.181e+05
50.2,3.510e+05,1.845e+05,3.161e+03,5.386e+05
51.8,4.227e+05,3.284e+05,3.694e+03,7.548e+05
53.4,5.829e+05,7.108e+05,3.882e+03,1.298e+06
54.9,7.124e+05,1.252e+06,2.886e+03,1.967e+06
56.5,5.622e+05,1.350e+06,1.068e+03,1.913e+06
58.1,3.104e+05,9.571e+05,3.055e+02,1.268e+06
59.6,1.991e+05,6.328e+05,3.508e+02,8.322e+05
61.2,1.403e+05,4.650e+05,3.914e+02,6.057e+05
62.8,1.154e+05,4.416e+05,8.118e+02,5.578e+05
64.3,1.091e+05,4.480e+05,1.758e+03,5.589e+05
65.9,1.019e+05,4.166e+05,2.420e+03,5.209e+05
67.5,9.016e+04,3.522e+05,2.160e+03,4.445e+05
69.1,7.148e+04,3.069e+05,1.008e+03,3.794e+05
70.6,5.902e+04,2.556e+05,7.003e+02,3.153e+05
72.2,5.035e+04,2.114e+05,1.388e+03,2.632e+05
73.8,4.383e+04,1.953e+05,2.462e+03,2.416e+05
75.3,3.964e+04,1.843e+05,2.685e+03,2.266e+05
76.9,3.816e+04,1.697e+05,2.988e+03,2.109e+05
78.5,3.544e+04,1.554e+05,3.282e+03,1.941e+05
80.0,3.363e+04,1.390e+05,3.628e+03,1.763e+05
81.6,3.294e+04,1.274e+05,4.381e+03,1.647e+05
83.2,2.986e+04,1.151e+05,5.998e+03,1.509e+05
84.8,2.812e+04,1.113e+05,7.811e+03,1.472e+05
86.3,2.488e+04,1.164e+05,8.672e+03,1.500e+05
87.9,2.328e+04,1.208e+05,8.928e+03,1.530e+05
89.5,2.297e+04,1.172e+05,8.682e+03,1.489e+05
91.0,2.275e+04,1.114e+05,8.571e+03,1.427e+05
92.6,2.390e+04,1.023e+05,8.002e+03,1.342e+05
94.2,2.602e+04,9.215e+04,7.449e+03,1.256e+05
95.7,2.872e+04,7.767e+04,7.288e+03,1.137e+05
97.3,2.974e+04,6.140e+04,6.585e+03,9.773e+04
98.9,3.427e+04,5.408e+04,6.742e+03,9.509e+04
100.4,3.943e+04,4.971e+04,7.657e+03,9.680e+04
102.0,3.215e+04,5.161e+04,7.167e+03,9.093e+04
103.6,3.006e+04,4.955e+04,7.012e+03,8.662e+04
105.2,2.986e+04,3.743e+04,6.431e+03,7.372e+04
106.7,2.664e+04,3.724e+04,5.181e+03,6.906e+04
108.3,2.165e+04,4.346e+04,3.906e+03,6.901e+04
109.9,1.732e+04,5.360e+04,2.353e+03,7.327e+04
111.4,1.551e+04,6.400e+04,1.219e+03,8.073e+04
113.0,1.338e+04,7.297e+04,7.646e+02,8.711e+04
114.6,1.076e+04,7.563e+04,7.377e+02,8.713e+04
116.1,9.773e+03,7.458e+04,1.023e+03,8.537e+04
117.7,1.057e+04,7.115e+04,1.087e+03,8.281e+04
119.3,9.151e+03,7.657e+04,1.186e+03,8.691e+04
120.8,9.991e+03,9.572e+04,1.667e+03,1.074e+05
122.4,1.188e+04,1.022e+05,3.103e+03,1.172e+05
124.0,1.266e+04,1.091e+05,6.036e+03,1.278e+05
125.6,1.204e+04,1.205e+05,7.813e+03,1.404e+05
127.1,1.212e+04,1.276e+05,8.383e+03,1.481e+05
128.7,9.953e+03,1.181e+05,6.777e+03,1.349e+05
130.3,8.179e+03,1.138e+05,5.675e+03,1.276e+05
131.8,8.909e+03,1.034e+05,5.687e+03,1.180e+05
133.4,7.378e+03,3.691e+04,3.946e+03,4.824e+04
135.0,7.180e+03,4.255e+03,2.849e+03,1.428e+04
136.5,6.354e+03,3.107e+03,2.880e+03,1.234e+04
138.1,5.105e+03,3.158e+03,2.850e+03,1.111e+04
139.7,4.842e+03,2.560e+03,2.676e+03,1.008e+04
141.3,4.942e+03,2.567e+03,2.660e+03,1.017e+04
142.8,5.318e+03,2.547e+03,2.721e+03,1.059e+04
144.4,5.111e+03,2.570e+03,3.170e+03,1.085e+04
146.0,5.693e+03,2.666e+03,4.031e+03,1.239e+04
147.5,6.419e+03,2.817e+03,5.055e+03,1.429e+04
149.1,6.568e+03,2.816e+03,7.134e+03,1.652e+04
150.7,7.172e+03,2.773e+03,9.182e+03,1.913e+04
152.2,8.383e+03,3.203e+03,9.493e+03,2.108e+04
153.8,6.355e+03,2.573e+03,8.976e+03,1.790e+04
155.4,7.041e+03,2.365e+03,8.654e+03,1.806e+04
156.9,6.996e+03,2.167e+03,8.720e+03,1.788e+04
158.5,7.469e+03,2.312e+03,9.126e+03,1.891e+04
160.1,8.313e+03,2.366e+03,1.017e+04,2.084e+04
161.7,8.220e+03,2.969e+03,1.186e+04,2.305e+04
163.2,8.938e+03,4.170e+03,1.336e+04,2.647e+04
164.8,1.004e+04,6.158e+03,1.316e+04,2.936e+04
166.4,9.838e+03,7.880e+03,1.260e+04,3.032e+04
167.9,1.012e+04,9.268e+03,1.458e+04,3.396e+04
169.5,1.331e+04,7.178e+03,1.844e+04,3.893e+04
171.1,1.431e+04,5.587e+03,1.849e+04,3.839e+04
172.6,1.250e+04,4.634e+03,1.605e+04,3.319e+04
174.2,1.313e+04,3.945e+03,1.445e+04,3.153e+04
175.8,1.256e+04,3.770e+03,1.185e+04,2.819e+04
177.3,1.099e+04,3.572e+03,9.531e+03,2.409e+04
178.9,9.234e+03,3.657e+03,8.068e+03,2.096e+04
180.5,9.575e+03,4.114e+03,7.338e+03,2.103e+04
182.1,8.734e+03,4.055e+03,6.646e+03,1.944e+04
