freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.092e+01,1.101e+02,3.487e+02,5.298e+02
1.6,2.595e+02,2.235e+02,2.126e+02,6.955e+02
3.1,2.566e+02,2.319e+02,3.765e+01,5.262e+02
4.7,2.624e+02,2.126e+02,3.679e+02,8.430e+02
6.3,2.548e+02,2.427e+02,1.221e+03,1.718e+03
7.8,2.347e+02,2.273e+02,2.021e+03,2.483e+03
9.4,2.322e+02,2.291e+02,3.067e+03,3.528e+03
11.0,2.685e+02,2.468e+02,4.469e+03,4.984e+03
12.5,2.706e+02,3.600e+02,5.081e+03,5.712e+03
14.1,2.580e+02,3.670e+02,4.825e+03,5.450e+03
15.7,2.372e+02,2.761e+02,5.892e+03,6.405e+03
17.3,2.519e+02,2.356e+02,7.917e+03,8.405e+03
18.8,2.342e+02,2.114e+02,1.024e+04,1.069e+04
20.4,2.566e+02,2.638e+02,1.233e+04,1.285e+04
22.0,2.770e+02,2.512e+02,1.455e+04,1.508e+04
23.5,2.536e+02,2.511e+02,1.746e+04,1.796e+04
25.1,2.209e+02,2.680e+02,2.078e+04,2.127e+04
26.7,2.566e+02,2.733e+02,2.458e+04,2.511e+04
28.2,3.079e+02,3.366e+02,2.872e+04,2.937e+04
29.8,2.809e+02,3.201e+02,3.260e+04,3.320e+04
31.4,3.123e+02,3.404e+02,3.832e+04,3.897e+04
32.9,3.065e+02,4.141e+02,4.552e+04,4.624e+04
34.5,3.058e+02,5.488e+02,5.395e+04,5.481e+04
36.1,3.076e+02,7.154e+02,6.315e+04,6.417e+04
37.6,3.646e+02,9.731e+02,7.625e+04,7.759e+04
39.2,3.610e+02,1.408e+03,9.149e+04,9.326e+04
40.8,4.645e+02,2.161e+03,1.131e+05,1.158e+05
42.3,7.530e+02,3.570e+03,1.433e+05,1.476e+05
43.9,1.085e+03,5.783e+03,1.773e+05,1.842e+05
45.5,1.409e+03,8.546e+03,2.231e+05,2.331e+05
47.1,2.232e+03,1.235e+04,2.900e+05,3.046e+05
48.6,3.895e+03,1.767e+04,3.683e+05,3.898e+05
50.2,5.770e+03,2.401e+04,4.376e+05,4.673e+05
51.8,6.165e+03,3.737e+04,5.483e+05,5.918e+05
53.3,6.229e+03,4.857e+04,5.994e+05,6.542e+05
54.9,7.792e+03,5.945e+04,6.223e+05,6.896e+05
56.5,9.184e+03,8.511e+04,7.468e+05,8.411e+05
58.0,1.381e+04,1.251e+05,8.202e+05,9.590e+05
59.6,2.411e+04,1.629e+05,7.681e+05,9.551e+05
61.2,3.787e+04,1.706e+05,6.566e+05,8.651e+05
62.7,4.119e+04,1.516e+05,5.686e+05,7.614e+05
64.3,3.252e+04,1.261e+05,4.853e+05,6.439e+05
65.9,2.367e+04,1.198e+05,4.322e+05,5.757e+05
67.4,2.164e+04,1.331e+05,4.060e+05,5.608e+05
69.0,2.247e+04,1.394e+05,3.636e+05,5.255e+05
70.6,2.298e+04,1.422e+05,3.265e+05,4.917e+05
72.1,2.266e+04,1.408e+05,2.870e+05,4.505e+05
73.7,2.043e+04,1.253e+05,2.493e+05,3.950e+05
75.3,1.747e+04,1.215e+05,2.248e+05,3.638e+05
76.9,1.649e+04,1.250e+05,2.010e+05,3.425e+05
78.4,1.591e+04,1.229e+05,1.762e+05,3.150e+05
80.0,1.503e+04,1.180e+05,1.505e+05,2.835e+05
81.6,1.485e+04,1.129e+05,1.246e+05,2.523e+05
83.1,1.498e+04,1.086e+05,1.030e+05,2.266e+05
84.7,1.505e+04,1.065e+05,8.792e+04,2.094e+05
86.3,1.526e+04,1.056e+05,7.773e+04,1.986e+05
87.8,1.591e+04,1.056e+05,6.936e+04,1.909e+05
89.4,1.663e+04,1.052e+05,6.289e+04,1.847e+05
91.0,1.735e+04,1.046e+05,5.699e+04,1.789e+05
92.5,1.829e+04,1.054e+05,5.138e+04,1.751e+05
94.1,1.879e+04,1.070e+05,4.784e+04,1.736e+05
95.7,1.905e+04,1.112e+05,4.513e+04,1.754e+05
97.2,1.926e+04,1.170e+05,4.289e+04,1.791e+05
98.8,1.797e+04,1.225e+05,4.089e+04,1.814e+05
100.4,1.496e+04,1.295e+05,4.033e+04,1.848e+05
101.9,1.129e+04,1.419e+05,4.042e+04,1.936e+05
103.5,1.121e+04,1.384e+05,3.774e+04,1.873e+05
105.1,1.016e+04,1.211e+05,3.358e+04,1.649e+05
106.7,8.806e+03,1.236e+05,3.418e+04,1.666e+05
108.2,7.700e+03,1.369e+05,3.307e+04,1.776e+05
109.8,7.987e+03,1.410e+05,3.126e+04,1.803e+05
111.4,9.126e+03,1.330e+05,2.834e+04,1.705e+05
112.9,9.836e+03,1.247e+05,2.364e+04,1.582e+05
114.5,1.067e+04,1.147e+05,1.977e+04,1.452e+05
116.1,1.156e+04,1.142e+05,1.798e+04,1.437e+05
117.6,1.350e+04,1.339e+05,2.025e+04,1.676e+05
119.2,1.290e+04,1.349e+05,1.925e+04,1.671e+05
120.8,1.159e+04,1.348e+05,1.445e+04,1.608e+05
122.3,1.272e+04,1.680e+05,1.451e+04,1.953e+05
123.9,1.856e+04,1.963e+05,1.748e+04,2.324e+05
125.5,2.745e+04,1.846e+05,2.439e+04,2.365e+05
127.0,3.351e+04,1.651e+05,2.745e+04,2.261e+05
128.6,3.627e+04,1.376e+05,2.353e+04,1.974e+05
130.2,4.205e+04,1.072e+05,2.614e+04,1.754e+05
131.7,4.833e+04,7.892e+04,3.582e+04,1.631e+05
133.3,3.031e+04,3.271e+04,3.024e+04,9.326e+04
134.9,1.765e+04,1.046e+04,2.514e+04,5.324e+04
136.5,1.948e+04,8.601e+03,2.995e+04,5.803e+04
138.0,2.138e+04,7.512e+03,3.561e+04,6.449e+04
139.6,2.289e+04,7.735e+03,4.025e+04,7.088e+04
141.2,2.406e+04,8.381e+03,4.315e+04,7.559e+04
142.7,2.531e+04,9.654e+03,4.681e+04,8.177e+04
144.3,2.587e+04,1.159e+04,4.947e+04,8.693e+04
145.9,2.589e+04,1.339e+04,5.087e+04,9.014e+04
147.4,2.461e+04,1.502e+04,5.020e+04,8.983e+04
149.0,2.497e+04,1.646e+04,5.055e+04,9.198e+04
150.6,2.496e+04,1.634e+04,5.085e+04,9.215e+04
152.1,2.297e+04,1.722e+04,4.755e+04,8.774e+04
153.7,2.287e+04,1.871e+04,4.543e+04,8.701e+04
155.3,2.255e+04,2.082e+04,4.349e+04,8.686e+04
156.8,2.094e+04,2.170e+04,4.075e+04,8.338e+04
158.4,1.894e+04,2.013e+04,3.653e+04,7.560e+04
160.0,1.782e+04,1.834e+04,3.292e+04,6.909e+04
161.5,1.655e+04,1.826e+04,3.001e+04,6.481e+04
163.1,1.475e+04,1.826e+04,2.625e+04,5.926e+04
164.7,1.357e+04,2.007e+04,2.429e+04,5.794e+04
166.3,1.362e+04,2.373e+04,2.352e+04,6.087e+04
167.8,1.349e+04,2.808e+04,2.365e+04,6.523e+04
169.4,1.204e+04,2.975e+04,2.209e+04,6.389e+04
171.0,9.743e+03,2.639e+04,1.929e+04,5.542e+04
172.5,8.524e+03,2.324e+04,1.765e+04,4.942e+04
174.1,7.118e+03,1.767e+04,1.486e+04,3.966e+04
175.7,6.430e+03,1.305e+04,1.270e+04,3.217e+04
177.2,5.810e+03,8.820e+03,1.074e+04,2.537e+04
178.8,4.694e+03,6.457e+03,8.207e+03,1.936e+04
180.4,4.874e+03,5.267e+03,7.871e+03,1.801e+04
181.9,4.785e+03,4.880e+03,7.270e+03,1.694e+04
183.5,4.452e+03,5.043e+03,6.451e+03,1.595e+04
185.1,4.158e+03,6.466e+03,5.374e+03,1.600e+04
186.6,4.019e+03,7.310e+03,4.648e+03,1.598e+04
188.2,3.920e+03,7.759e+03,4.310e+03,1.599e+04
189.8,3.884e+03,8.006e+03,4.166e+03,1.606e+04
191.3,3.862e+03,8.232e+03,4.108e+03,1.620e+04
192.9,3.671e+03,8.668e+03,4.289e+03,1.663e+04
194.5,3.751e+03,8.934e+03,4.546e+03,1.723e+04
196.1,3.468e+03,9.092e+03,4.200e+03,1.676e+04
197.6,3.004e+03,9.249e+03,3.445e+03,1.570e+04
199.2,3.082e+03,1.084e+04,3.651e+03,1.758e+04
